姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
谢奇峰,https://www.zssy.com.cn/node/11109,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/830452.jpg,01_试点医院/中山大学附属第三医院/照片/谢奇峰-感染性疾病科-教授-中山大学附属第三医院.jpg,11531,1b492af372494466dccaeaecdc5350d994f8e4d9906f020e40a9651596afc96d,132,176,
谢婵,https://www.zssy.com.cn/node/11081,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2017030916435709193059.jpg,01_试点医院/中山大学附属第三医院/照片/谢婵-感染性疾病科-主任医师-中山大学附属第三医院.jpg,221607,0776c627e86a8fd4acf02c62e88aee6f326e13bceea7074fac84ac902c1dcadd,500,667,
赖菁,https://www.zssy.com.cn/node/11093,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021315294300641427.jpg,01_试点医院/中山大学附属第三医院/照片/赖菁-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,272402,b40b3090d21ec6baa9f8549c5f244dfcdf1309ce3d670f1909a30e701bb50a82,2480,3307,
赵志新,https://www.zssy.com.cn/node/11116,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/830468.jpg,01_试点医院/中山大学附属第三医院/照片/赵志新-感染性疾病科-主任医师-中山大学附属第三医院.jpg,14923,3b8c537583ebac0cb683df57241f8cb6f176e32bb7696bc8b20dc1712d1bfd10,132,176,
邓子德,https://www.zssy.com.cn/node/15025,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E9%82%93%E5%AD%90%E5%BE%B7.jpg,01_试点医院/中山大学附属第三医院/照片/邓子德-感染性疾病科-主任医师-中山大学附属第三医院.jpg,216481,ee02d1a2494b046dabcd4be371b8ead65ec77d7fc540cfadb52f1bf40afc2ef9,500,667,
邓洪,https://www.zssy.com.cn/node/11101,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2013100816422856106265.jpg,01_试点医院/中山大学附属第三医院/照片/邓洪-感染性疾病科-主任医师-中山大学附属第三医院.jpg,13452,6d326184376e8d967296416a461063d52f5125469d7b6fda219e272b76bce727,105,150,
郑玉宝,https://www.zssy.com.cn/node/11084,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2017031511502953064971.jpg,01_试点医院/中山大学附属第三医院/照片/郑玉宝-感染性疾病科-主任医师-中山大学附属第三医院.jpg,283712,706a5e1fc9f81f1c2678882e11091211516d4015b7595b4555d2ce55b975a88c,500,667,
陈俊峰,https://www.zssy.com.cn/node/15049,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E9%99%88%E4%BF%8A%E5%B3%B0.jpg,01_试点医院/中山大学附属第三医院/照片/陈俊峰-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,256277,61ab3dad6ed485ec409b21c0db897f501805a9590096d4e3ab2d23e8fbd09b27,500,667,
陈幼明,https://www.zssy.com.cn/node/11092,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E9%99%88%E5%B9%BC%E6%98%8E%20%282%29.jpg,01_试点医院/中山大学附属第三医院/照片/陈幼明-感染性疾病科-主任医师-中山大学附属第三医院.jpg,180857,adcfd82bc8d2daa420280aa8343ce089228ac982ea56f24f06b7a31cfe735562,500,667,
陈禄彪,https://www.zssy.com.cn/node/11096,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909365198707304.jpg,01_试点医院/中山大学附属第三医院/照片/陈禄彪-感染性疾病科-主任医师-中山大学附属第三医院.jpg,192395,7a4bb858422a3fbeb51171d586649c76e6f05b0bb61cb94889b45b83ecadceae,500,667,
